date,body_part,exercise,set_no,weight_kg,reps,volume_kg
2023-10-06,Shoulder,Shoulder press,1,10.0,20.0,200.0
2023-10-06,Shoulder,Face pulls,3,35.0,10.0,350.0
2023-10-06,Shoulder,Face pulls,2,30.0,12.0,360.0
2023-10-06,Shoulder,Face pulls,1,25.0,15.0,375.0
2023-10-06,Shoulder,Dumbbell lat raises,2,7.5,15.0,112.5
2023-10-06,Shoulder,Dumbbell lat raises,1,5.0,20.0,100.0
2023-10-06,Shoulder,Incline front raises,2,7.5,10.0,75.0
2023-10-06,Shoulder,Incline front raises,1,5.0,15.0,75.0
2023-10-06,Shoulder,Cable lat raises,3,7.5,6.0,45.0
2023-10-06,Shoulder,Dumbbell lat raises,3,10.0,5.0,50.0
2023-10-06,Shoulder,Cable lat raises,1,5.0,15.0,75.0
2023-10-06,Shoulder,Reverse Pec Dec,3,25.0,10.0,250.0
2023-10-06,Shoulder,Reverse Pec Dec,2,20.0,12.0,240.0
2023-10-06,Shoulder,Reverse Pec Dec,1,15.0,15.0,225.0
2023-10-06,Shoulder,Shoulder press,4,17.5,6.0,105.0
2023-10-06,Shoulder,Shoulder press,3,15.0,10.0,150.0
2023-10-06,Shoulder,Shoulder press,2,12.5,15.0,187.5
2023-10-06,Shoulder,Cable lat raises,2,5.0,15.0,75.0
2023-10-07,Arms,Cable hammer curls,3,30.0,7.0,210.0
2023-10-07,Arms,Tricep pushdown,1,20.0,20.0,400.0
2023-10-07,Arms,Tricep pushdown,2,25.0,13.0,325.0
2023-10-07,Arms,Tricep pushdown,3,30.0,9.0,270.0
2023-10-07,Arms,Cable forearm curls,2,30.0,15.0,450.0
2023-10-07,Arms,Reverse wrist curls,2,5.0,10.0,50.0
2023-10-07,Arms,Cable forearm curls,1,25.0,15.0,375.0
2023-10-07,Arms,Cable forearm curls,3,35.0,15.0,525.0
2023-10-07,Arms,Cable hammer curls,2,25.0,8.0,200.0
2023-10-07,Arms,Reverse wrist curls,1,3.0,14.0,42.0
2023-10-07,Arms,Cable hammer curls,1,20.0,13.0,260.0
2023-10-07,Arms,Preacher curls,1,5.0,15.0,75.0
2023-10-07,Arms,Overhand tricep extensions,2,25.0,9.0,225.0
2023-10-07,Arms,EZ bar curls,1,5.0,17.0,85.0
2023-10-07,Arms,Overhand tricep extensions,3,30.0,6.0,180.0
2023-10-07,Arms,EZ bar curls,3,15.0,3.0,45.0
2023-10-07,Arms,Single arm pushback,1,2.5,20.0,50.0
2023-10-07,Arms,Single arm pushback,2,7.5,14.0,105.0
